ADUS,APAM,BLBD,BPOP,BWXT,COLL,CORT,CRS,DORM,EME,EXEL,EXLS,FDS,FN,HALO,HROW,IDCC,IRMD,IRWD,IWO,IWP,KBR,LAMR,LNTH,MIRM,NBIX,NSSC,NTNX,NXT,ONTO,OPCH,OSIS,PEN,POWL,QLYS,SFM,SN,SPSC,STRL,TBBK,TILE,TMDX,TTEK,VTWG,YOU
104.5500031,33.86356354,34.86999893,93.06510925,108.4103088,26.99500084,71.87999725,195.1743164,113.3000031,400.132782,39.15000153,48.47999954,426.0333252,205.0599976,61.41999817,24.77000046,199.6068573,51.6461792,0.930000007,252.3234253,120.881279,52.03826141,108.0683365,104.3399963,43.45000076,107.6900024,22.50861359,68.69999695,40.61000061,121.9700012,32.31000137,204.7400055,292.8399963,60.80220795,125.7099991,171,80.5,143.5099945,149.4299927,48.31000137,18.74068832,92.01000214,30.96835518,183.5790253,24.20718765
103.9199982,35.26461792,36.00999832,94.36228943,110.3973007,27.05999947,71.48000336,201.8793335,115,411.9360046,38.88999939,46.31000137,423.7367249,210.7599945,60.02999878,25,200.7488861,52.16845322,0.910000026,254.0848846,121.3098297,51.75249481,108.248764,105.9199982,43.41999817,106.5899963,22.65637207,70.91000366,41.86999893,120.7300034,32.16999817,224.3300018,291.8200073,63.46527481,127.0199966,171.6600037,79.80999756,142.0899963,159.9600067,49.47000122,18.79053116,90.44999695,30.98821068,185.3364716,23.93255043
105,36.49169159,37.96500015,97.15170288,111.8776093,27.64999962,72.76999664,212.535553,115.2699966,429.5809937,39.59999847,46.86999893,428.3398438,218.2599945,61.18999863,25.84000015,209.5077667,52.69073105,0.930000007,260.304657,124.6784363,51.31893158,110.0813828,108.7399979,43.68999863,109.6800003,23.42471886,72.54000092,42.20000076,127.0999985,32.95000076,224.8600006,296,64.1625824,128,173.9299927,84.13999939,143.7899933,165.6399994,51.90000153,19.1693325,89.98000336,30.75984383,189.7450104,24.66818237
104.3700027,36.6473732,38.27999878,97.02492523,111.2815094,27.78000069,73.94000244,211.4479828,114.9499969,435.3727722,39.84000015,46.54000092,426.8908997,220.8999939,60.61999893,24.72999954,211.3747253,51.53778076,0.930000007,258.7322693,124.7083435,50.81637955,110.3377686,107.9800034,44.15000153,109.75,24.28172112,72.43000031,41.11999893,124.3899994,32.81000137,220.5599976,293.1300049,63.74087906,128.1600037,172.7100067,82.52999878,144.2599945,166.6600037,51.99000168,19.08958626,92.20999908,30.36268806,188.2854156,24.63875771
108.6200027,36.33602142,38.34999847,96.60552979,107.4267426,27.03000069,70.73999786,207.097702,122.9899979,432.4569397,36.86000061,46.66999817,423.6676941,204.8500061,59.38000107,24.12000084,212.8444672,50.27643204,0.930000007,255.0302582,122.6652451,53.38824081,110.195343,104.8399963,41,118.9199982,24.35067368,72.34999847,42.88999939,122.4199982,32.74000168,220.6100006,291.9599915,63.14650345,126.8199997,169.4499969,80.08000183,142.7400055,171.9499969,51.68000031,19.54813385,93.37999725,30.35276031,185.8925018,25.66864204
112.2900009,36.53748322,37.74000168,96.58602142,107.0591507,27.04999924,70.45999908,208.6043396,123.9599991,433.5354004,36.81000137,46.04999924,433.8991089,209.9100037,70.13999939,24.59000015,211.0569305,50.26657867,0.790000021,255.945816,123.9508972,53.62472916,112.4362717,80.48999786,41.22000122,121.6100006,24.55753517,73.69999695,43.77000046,125.1900024,33.43999863,221.3899994,289.25,58.06941223,127.6299973,167.6900024,81.19000244,141.8600006,179.6499939,51.27000046,19.79734612,95.80999756,30.66055489,186.7066803,25.77653694
110.6999969,37.66382217,37.22000122,98.00998688,107.2479172,27.27000046,71.37999725,208.7140808,124.2799988,439.6167908,36.5,45.52999878,442.0704346,208.1000061,67.73000336,23.59000015,210.500824,51.90238953,0.699999988,261.1903381,126.3527756,54.01888657,109.4546738,80.44000244,45.24000168,117.5199966,25.80856323,74.41999817,44.59999847,126.8099976,31.70000076,222.1699982,288.730011,59.0921402,133.4799957,158.1799927,91.62999725,145.1300049,179.4199982,52.16999817,20.36554718,93.19999695,34.63213348,190.3407288,23.81485176
110.9100037,37.37995148,37.93999863,97.83442688,107.665184,28.88999939,70.23000336,211.8570709,124.6900024,438.8078918,36.16999817,45.52999878,448.1127319,202.6199951,65.87000275,24.39999962,210.4909058,51.10419083,0.709999979,260.4041748,126.0238876,54.39333344,109.0463715,81.73999786,44.27000046,115.7099991,25.97602272,75.09999847,46.54000092,88.5,31.84000015,223.5299988,297.3200073,58.03288651,132.3099976,161.7700043,92.25,143.8699951,177.7400055,51.43999863,20.59482193,111.5,35.18815231,189.5662689,23.63829994
110.5500031,39.11067581,39.93000031,101.0529938,106.3935013,29.55999947,72.13999939,216.2273254,130.2400055,456.6625977,36.97999954,46.84999847,449.867218,215.3899994,66.58000183,26.65999985,216.0322113,51.80385208,0.730000019,270.2861023,130.7379303,55.24076843,112.616684,79.51999664,45.56999969,120.4300003,27.00048447,76.84999847,50.63000107,93.48999786,31.86000061,226.9900055,297.5499878,62.39273834,136.4900055,156.9900055,98.98999786,151.8699951,183.2700043,54.09000015,20.8639679,118.7300034,34.74135208,196.8740997,24.1581459
109.7399979,39.6509552,40.59000015,101.5016403,106.4928589,29.79999924,70.58999634,224.019928,130.9100037,471.7112427,36.95000076,46.86000061,444.9683533,227.3300018,50.22999954,26.27000046,220.8585358,52.45422363,0.680000007,271.6296082,133.2095947,55.14222336,112.8920593,78.94999695,45.27000046,116.8700027,27.16794395,82.40000153,54.09000015,99.19000244,31.55999947,230.25,296.0499878,64.71047211,136.75,158.4700012,102.3399963,152.6699982,187.4799957,54.65999985,20.94371605,122.1100006,34.79099655,198.1549377,24.49163246
