MTUM,QUAL,SIZE,VLUE
242.2081146,187.9265289,158.41745,117.5677109
241.3929901,186.9738312,157.1626892,117.0853577
243.7091217,187.6188812,157.3899231,117.2920685
243.3114929,187.9066772,158.0518951,117.9319458
244.8522644,188.2440796,158.3087616,118.2075729
242.2776794,187.5097198,157.9037018,117.8138123
241.0450897,186.1799316,156.8168793,117.2133179
241.223999,187.231842,156.4315491,116.868782
243.4804688,188.8791962,157.7653503,118.1189728
242.8442993,187.7776642,157.8048859,118.5422668
245.0113068,188.2639313,158.0518951,118.0697556
246.9596252,188.551712,157.7653503,118.2075729
252.8542938,188.1250153,157.5381012,118.5127411
252.4467468,190.1097565,159.8401794,120.3535843
252.0093536,189.3555298,158.6545715,119.7530899
253.1027985,189.9807281,158.486618,119.8220062
252.4890137,189.8006744,158.1344757,119.8615875
252.2100067,190.2980804,158.1047363,120.2574997
253.764389,191.0243073,159.5231171,122.7220383
255.8867493,191.7107391,158.9874878,121.8312378
256.7635803,192.7751617,159.4040833,121.7916565
255.8668213,191.8698883,159.2553101,122.2073517
254.2327118,191.2033691,158.7494507,122.3360214
252.6783142,190.3080444,157.2814789,122.0885849
253.7444916,191.6013031,158.5510864,123.3554916
254.7209473,192.3573456,158.719696,123.5732422
255.5280457,193.4914398,159.4735107,123.7712021
254.980011,194.8244781,159.741333,125.5131989
254.8903351,195.3417969,160.2769318,125.6418762
253.355896,195.4512177,160.7232666,126.1070709
253.2960968,195.7894592,160.7629547,125.909111
253.5850525,194.7946472,159.8504333,124.919342
254.9999542,195.6700897,160.4455566,125.6319733
255.1195374,194.7548523,159.4536743,124.5531158
249.0713348,190.0195313,155.4663544,121.0394211
253.8242035,191.8798523,157.1426086,122.8408127
253.2064056,192.0290527,158.7097626,123.7810898
253.9437561,192.7055359,159.0767822,125.0777054
251.9808502,191.2928925,157.3410034,124.0384369
251.8911743,192.4568329,158.2237549,124.5927048
253.3060608,194.5956879,160.415802,125.9487
252.6584015,195.1129913,160.6439362,127.1364288
250.0179138,193.8396301,159.4140015,126.1169586
252.0505829,195.0731812,160.3463745,126.9285812
254.5814514,195.8392029,161.1398621,128.5023193
256.9927673,198.147171,162.0325623,129.5415802
257.022644,198.0974426,160.604248,129.4524841
257.0923767,197.2916412,159.205719,128.967514
252.6484222,195.6800232,158.2832642,128.2449799
253.3060608,195.2821045,159.2850647,129.0763855
252.6085815,195.0035553,158.8883057,129.2347565
248.3140869,193.5113373,157.5294495,126.9582748
249.2506866,194.2773285,158.4717255,128.8487244
246.0422516,192.2678223,157.3905792,128.0866089
247.2877655,192.2081299,158.4419708,128.9477234
251.7118073,194.8941345,159.7214813,130.1255493
250.8648682,195.5009613,160.2372589,130.1255493
250.6855164,195.9884186,159.2354736,131.3132782
244.9063568,193.8993073,158.0055542,129.4030151
245.1853638,193.3720551,157.5889587,129.3238373
242.4851074,191.3227539,155.3770752,127.086937
241.1698303,190.0792389,155.1985321,126.7108307
242.0765686,190.7557068,154.8414612,126.5128708
237.1643066,188.3780975,152.788269,123.3950882
236.9749756,190.9845123,155.3175659,126.0872726
241.4289093,192.6756744,155.8035736,127.6511078
243.3320465,194.9737091,158.9874878,129.5019836
246.789566,196.3167114,159.6421356,130.6996155
249.3503265,197.0528717,160.5348206,132.3030548
246.7596741,196.6450043,159.53302,131.8774414
247.9155121,197.401062,159.6520691,132.6593628
248.901947,198.0874786,162.1515808,133.985672
250.6954803,198.2466583,161.2092896,133.3324127
251.8811798,198.7241669,161.3977509,133.9262695
252.4690857,197.5204468,160.5248871,133.9064789
252.5886536,197.3811646,160.2174225,134.1044464
254.9999542,198.3063354,162.4094696,136.8560181
255.1394348,199.9676819,163.5203552,137.1628418
248.5631866,198.4754639,162.2309265,135.3812408
247.4472046,198.6545258,162.111908,135.5693054
247.4881744,197.7674255,161.2499542,134.5766144
241.6633911,195.94133,161.6086731,133.4614258
245.8496399,197.3483276,161.3695221,134.5467377
251.0249939,198.4160309,161.8378754,136.0004272
253.1630707,199.4438324,163.5019836,136.996109
254.0922546,199.7332306,162.7147675,136.6775055
255.2412109,200.5614624,163.5518188,137.6034851
254.8016052,200.6013641,163.1831055,137.6632233
253.2629852,200.0724945,163.1532135,137.5437469
252.5635986,199.6733551,163.2229767,137.3744812
250.0858307,198.1965027,161.0008392,136.1398315
252.5036621,198.7652893,162.1766663,138.7485199
254.8915253,200.7510376,163.9205017,139.883606
257.8788452,202.477356,166.2323456,142.4624176
256.2403259,201.4994354,164.5482941,141.1182404
253.1031342,201.9784241,165.4052582,141.7057037
256.7598267,203.6348877,166.5811005,143.6174164
258.7181091,203.7945404,166.3419342,143.0797424
258.6781311,203.0960388,166.1825104,143.0498657
255.5009766,202.1779938,165.8038483,143.0697937
256.9796448,203.0561218,167.6473389,143.8862457
258.1486206,202.8765106,167.0494385,143.866333
252.6135559,199.1045685,164.159668,142.2234497
255.1712646,201.5393677,166.4814606,145.9473114
255.840683,202.1979675,166.7803955,146.6940765
255.2612,202.2478485,166.1127472,144.4239197
256.7199097,203.2956085,166.4216614,144.1252136
259.986969,203.7047424,166.2921295,145.4793396
259.8570557,203.8344574,165.8337402,147.3213654
260.8861389,204.3034668,165.4451141,147.8291626
255.6608276,201.9884033,164.847229,146.5447083
258.1286011,203.2956085,165.1760559,148.9841461
256.2203369,200.9406433,164.3091278,148.924408
246.8287506,201.1901093,165.5248413,148.4863129
243.911377,198.8151855,164.1098328,147.5105286
253.2629852,203.2057953,167.6274109,151.2244415
257.1994629,203.5949707,167.4081726,150.6768188
254.8315735,203.1858368,168.6438141,150.1590576
254.9214935,203.355484,168.5441589,152.2400208
249.9759216,200.3119965,165.6244965,149.223114
251.254776,201.3198395,167.2985687,150.9058075
251.4246216,201.8087921,166.9497986,150.1988831
253.2629852,203.0561218,168.3149719,151.6426239
253.0731506,202.5971069,167.6772308,150.726593
254.5518341,203.9542084,168.494339,151.7621002
249.5263367,201.8287354,165.8935242,149.5915222
251.9141998,203.5350952,167.4679565,150.4975739
256.1503906,205.0119476,167.6772308,151.3339691
254.6617279,204.363327,168.9028931,150.4677124
252.7334595,204.4232025,168.743454,150.1391296
253.4727936,204.0340424,168.5541229,149.6412964
246.7887878,201.8586731,166.4814606,146.4650726
250.4854736,203.0062256,167.3583527,148.6157379
246.8087616,201.2499695,165.5547333,146.9927826
241.2637329,198.2364197,163.4023285,143.9360352
247.0185852,200.2820587,164.0301208,144.7126617
248.0576477,199.8529663,162.7147675,145.0910187
248.5671844,199.0945892,162.2265015,145.7382202
243.6815643,195.8016205,159.5360107,143.169342
243.2219849,194.733902,159.4762115,144.0654755
246.5589905,196.5599976,160.951004,145.5590057
248.2299957,196.8800049,161.8300018,147.0099945
246.2400055,194.0800018,159.6600037,145.4799957
246.8600006,194.2100067,159.7400055,145.3600006
241.5200043,191.8899994,157.25,143.1000061
244.5200043,193.9499969,159.0399933,143.8000031
245.5399933,193.3000031,159.2899933,144.9100037
247.1799927,194.1199951,160.5700073,145.5599976
238.2100067,190.1499939,158.1799927,142.8999939
235.7599945,187.3000031,156.0299988,141.0800018
230.7700043,186.4900055,155.4400024,138.4799957
239.9900055,191.8099976,159.4600067,142.1900024
245.2400055,192.7700043,159.8099976,144.7599945
245.8500061,193.1600037,160.4100037,145.2200012
