Security Name,Ticker,Shares,Price [USD],Market Value [USD],Weight (%),industry,sector
"Supernus Pharmaceuticals, Inc.",SUPN,3.58,46,164.68,0.0081,Household & Personal Products,Consumer Defensive
"Sweetgreen, Inc.",SG,97.83,8.93,873.59,0.0429,Banks - Regional,Financial Services
Sylvamo Corporation,SLVM,7.56,45.38,343.07,0.0168,Beverages - Brewers,Consumer Defensive
Synaptics Incorporated,SYNA,2.86,69.9,199.63,0.0098,Security & Protection Services,Industrials
"Syndax Pharmaceuticals, Inc.",SNDX,81.38,17.04,1386.75,0.0681,Food Distribution,Consumer Defensive
"System1, Inc.",SST,23.2,7.77,180.23,0.0088,Apparel Retail,Consumer Cyclical
"Talkspace, Inc.",TALK,121.76,2.61,317.79,0.0156,Restaurants,Consumer Cyclical
"Tandem Diabetes Care, Inc.",TNDM,64.14,12.58,806.91,0.0396,Specialty Industrial Machinery,Industrials
Tanger Inc.,SKT,41.34,34.78,1437.7,0.0706,Specialty Chemicals,Basic Materials
"Tango Therapeutics, Inc.",TNGX,47.25,6.94,327.92,0.0161,Medical Care Facilities,Healthcare
Target Hospitality Corp.,TH,32.63,8.78,286.52,0.0141,Information Technology Services,Technology
"Tarsus Pharmaceuticals, Inc.",TARS,36.43,57.63,2099.63,0.103,Medical Care Facilities,Healthcare
"Taylor Devices, Inc.",TAYD,2.36,47.91,112.97,0.0055,Household & Personal Products,Consumer Defensive
"Taysha Gene Therapies, Inc.",TSHA,158.43,3.36,532.32,0.0261,"Furnishings, Fixtures & Appliances",Consumer Cyclical
TechTarget Holdings Inc.,TTGT,25.59,0,0,0,Packaged Foods,Consumer Defensive
"Teladoc Health, Inc.",TDOC,26.3,7.82,205.67,0.0101,Restaurants,Consumer Cyclical
"Telomir Pharmaceuticals, Inc.",TELO,2.69,1.24,3.33,0.0002,Real Estate Services,Real Estate
"Tenable Holdings, Inc.",TENB,116.79,31.05,3626.36,0.178,Medical Care Facilities,Healthcare
