Security Name,Ticker,Shares,Price [USD],Market Value [USD],Weight (%),industry,sector
Acadian Asset Management Inc.,AAMI,27.37,44.46,1217.05,0.0597,Asset Management,Financial Services
"Accel Entertainment, Inc.",ACEL,51.88,11.47,595.06,0.0292,Gambling,Consumer Cyclical
Accuray Incorporated,ARAY,89.19,1.51,134.67,0.0066,Medical Devices,Healthcare
"Achieve Life Sciences, Inc.",ACHV,20.67,2.83,58.5,0.0029,Biotechnology,Healthcare
"ACI Worldwide, Inc.",ACIW,104.46,50.25,5249.12,0.2576,Software - Infrastructure,Technology
"ACM Research, Inc.",ACMR,34.61,27.41,948.74,0.0466,Semiconductor Equipment & Materials,Technology
"Actinium Pharmaceuticals, Inc.",ATNM,29.78,1.58,47.04,0.0023,Biotechnology,Healthcare
Acushnet Holdings Corp.,GOLF,28.71,76.55,2197.9,0.1079,Leisure,Consumer Cyclical
ACV Auctions Inc.,ACVA,146.56,11.81,1730.86,0.0849,Auto & Truck Dealerships,Consumer Cyclical
AdaptHealth Corp.,AHCO,43.86,9.51,417.09,0.0205,Medical Devices,Healthcare
Addus HomeCare Corporation,ADUS,6.18,113.22,699.93,0.0343,Medical Care Facilities,Healthcare
Adeia Inc.,ADEA,90.95,15.43,1403.39,0.0689,Software - Application,Technology
"ADMA Biologics, Inc.",ADMA,223.05,16.87,3762.82,0.1847,Biotechnology,Healthcare
Adtalem Global Education Inc.,ATGE,7.12,134.45,957.15,0.047,Education & Training Services,Consumer Defensive
"Advanced Drainage Systems, Inc.",WMS,25.13,148.41,3729.84,0.183,Building Products & Equipment,Industrials
"Advanced Energy Industries, Inc.",AEIS,37.07,153.74,5699.14,0.2797,Electrical Equipment & Parts,Industrials
"Aehr Test Systems, Inc.",AEHR,27.4,25.56,700.37,0.0344,Semiconductor Equipment & Materials,Technology
"AeroVironment, Inc.",AVAV,25.93,226.08,5861.12,0.2876,Aerospace & Defense,Industrials
"AG Mortgage Investment Trust, Inc.",MITT,4.68,7.78,36.37,0.0018,REIT - Mortgage,Real Estate
Agenus Inc.,AGEN,2.68,4.33,11.58,0.0006,Biotechnology,Healthcare
"agilon health, inc.",AGL,305.54,1.2,366.65,0.018,Medical Care Facilities,Healthcare
"Agilysys, Inc.",AGYS,21.91,110.56,2421.82,0.1189,Software - Application,Technology
"AirSculpt Technologies, Inc.",AIRS,13.13,5.88,77.2,0.0038,Medical Care Facilities,Healthcare
"Airship AI Holdings, Inc.",AISP,3.06,4.3,13.15,0.0006,Software - Infrastructure,Technology
"Akebia Therapeutics, Inc.",AKBA,19.16,2.96,56.71,0.0028,Drug Manufacturers - Specialty & Generic,Healthcare
Alamo Group Inc.,ALG,10.15,209.22,2122.75,0.1042,Farm & Heavy Construction Machinery,Industrials
"Alarm.com Holdings, Inc.",ALRM,47.79,56.95,2721.64,0.1336,Software - Application,Technology
Albany International Corp.,AIN,7.54,62.32,470.02,0.0231,Textile Manufacturing,Consumer Cyclical
"Aldeyra Therapeutics, Inc.",ALDX,5.03,5.56,27.98,0.0014,Biotechnology,Healthcare
"Alector, Inc.",ALEC,79.93,3.01,240.58,0.0118,Biotechnology,Healthcare
"Alexander's, Inc.",ALX,2.13,234.46,498.23,0.0245,Software - Application,Technology
"Alignment Healthcare, Inc.",ALHC,99.13,15.86,1572.22,0.0772,Healthcare Plans,Healthcare
"Alimera Sciences, Inc.",ALIM,18.76,0,0,0,REIT - Retail,Real Estate
"Alkami Technology, Inc.",ALKT,43.62,25.23,1100.53,0.054,Electronic Components,Technology
Allient Inc.,ALNT,0.81,45.54,36.75,0.0018,Credit Services,Financial Services
Ally Financial Inc.,ALLY,37.25,41.36,1540.66,0.0756,Coking Coal,Basic Materials
"Alpha Metallurgical Resources, Inc.",AMR,10.88,146.35,1592.73,0.0782,Medical Devices,Healthcare
"Alphatec Holdings, Inc.",ATEC,101.68,16.4,1667.47,0.0818,Biotechnology,Healthcare
Alta Equipment Group Inc.,ALTG,26.56,8.57,227.64,0.0112,Biotechnology,Healthcare
"Altimmune, Inc.",ALT,38.27,3.78,144.65,0.0071,Rental & Leasing Services,Industrials
"Alto Neuroscience, Inc.",ANRO,5.32,3.67,19.54,0.001,Biotechnology,Healthcare
ALX Oncology Holdings Inc.,ALXO,32.72,1.22,39.91,0.002,Engineering & Construction,Industrials
"Ameresco, Inc.",AMRC,10.66,25.93,276.34,0.0136,Airlines,Industrials
American Airlines Group Inc.,AAL,47.03,13.08,615.17,0.0302,Insurance - Property & Casualty,Financial Services
American Coastal Insurance Corporation,ACIC,10.39,11.37,118.11,0.0058,Apparel Retail,Consumer Cyclical
"American Eagle Outfitters, Inc.",AEO,143.42,18.81,2697.69,0.1324,Utilities - Regulated Water,Utilities
"American Public Education, Inc.",APEI,1.32,31.6,41.74,0.002,Specialty Industrial Machinery,Industrials
American States Water Company,AWR,20.75,74.66,1549.27,0.076,Education & Training Services,Consumer Defensive
American Superconductor Corporation,AMSC,33.81,48.88,1652.68,0.0811,Insurance - Specialty,Financial Services
American Woodmark Corporation,AMWD,0.94,68.44,64.4,0.0032,Medical Care Facilities,Healthcare
"AMERISAFE, Inc.",AMSF,8.11,45.87,372.1,0.0183,Biotechnology,Healthcare
"Amicus Therapeutics, Inc.",FOLD,290.61,7.99,2321.95,0.114,"Furnishings, Fixtures & Appliances",Consumer Cyclical
"AMN Healthcare Services, Inc.",AMN,37.54,20.85,782.65,0.0384,Drug Manufacturers - Specialty & Generic,Healthcare
"Amneal Pharmaceuticals, Inc.",AMRX,132.23,9.62,1272.04,0.0624,Drug Manufacturers - Specialty & Generic,Healthcare
"Amphastar Pharmaceuticals, Inc.",AMPH,38.1,29.42,1120.99,0.055,Software - Application,Technology
"Amplitude, Inc.",AMPL,75.66,11.43,864.75,0.0424,Biotechnology,Healthcare
"Amprius Technologies, Inc.",AMPX,13.88,7.11,98.67,0.0048,REIT - Mortgage,Real Estate
"AnaptysBio, Inc.",ANAB,19.38,21.9,424.38,0.0208,Electrical Equipment & Parts,Industrials
Anavex Life Sciences Corp.,AVXL,19.03,9.4,178.91,0.0088,Drug Manufacturers - Specialty & Generic,Healthcare
"Angel Oak Mortgage REIT, Inc.",AOMR,4.01,10.05,40.32,0.002,Drug Manufacturers - Specialty & Generic,Healthcare
"ANI Pharmaceuticals, Inc.",ANIP,12.99,95.35,1238.22,0.0608,Biotechnology,Healthcare
"Anika Therapeutics, Inc.",ANIK,2.74,8.94,24.5,0.0012,Telecom Services,Communication Services
Anterix Inc.,ATEX,11.1,21.97,243.76,0.012,Oil & Gas Midstream,Energy
Antero Midstream Corporation,AM,129.21,18.25,2358.08,0.1157,REIT - Residential,Real Estate
Apartment Investment and Management Company,AIV,67.63,7.83,529.51,0.026,Biotechnology,Healthcare
"Apellis Pharmaceuticals, Inc.",APLS,104.21,28.13,2931.46,0.1439,Building Products & Equipment,Industrials
"Apogee Enterprises, Inc.",APOG,6.91,43.62,301.33,0.0148,Biotechnology,Healthcare
"Apogee Therapeutics, Inc.",APGE,35.82,37.87,1356.58,0.0666,Software - Application,Technology
"AppFolio, Inc.",APPF,21.94,284.81,6248.45,0.3066,Information Technology Services,Technology
Appian Corporation,APPN,39.89,30.57,1219.5,0.0598,Industrial Distribution,Industrials
Applied Digital Corporation,APLD,67.5,13.89,937.52,0.046,Software - Infrastructure,Technology
"Applied Industrial Technologies, Inc.",AIT,38.09,265.44,10111.67,0.4962,Biotechnology,Healthcare
"Applied Therapeutics, Inc.",APLT,57.7,0.47,27.35,0.0013,Drug Manufacturers - Specialty & Generic,Healthcare
"Aquestive Therapeutics, Inc.",AQST,20.01,5.42,108.43,0.0053,Biotechnology,Healthcare
Arbutus Biopharma Corporation,ABUS,129.16,4.2,542.49,0.0266,Biotechnology,Healthcare
ArcBest Corporation,ARCB,23.32,75.7,1765.32,0.0866,Aerospace & Defense,Industrials
"Arcellx, Inc.",ACLX,42.69,72.62,3100.22,0.1521,Trucking,Industrials
Archer Aviation Inc.,ACHR,218.51,8.5,1857.32,0.0911,Oil & Gas Equipment & Services,Energy
"Archrock, Inc.",AROC,152.91,25.25,3861.08,0.1895,Biotechnology,Healthcare
Arcturus Therapeutics Holdings Inc.,ARCT,20.22,17.85,360.87,0.0177,Biotechnology,Healthcare
"Arcus Biosciences, Inc.",RCUS,53.85,12.19,656.46,0.0322,Biotechnology,Healthcare
"Arcutis Biotherapeutics, Inc.",ARQT,105.22,17.15,1804.52,0.0886,Engineering & Construction,Industrials
"Ardelyx, Inc.",ARDX,230.16,6.52,1500.64,0.0736,Biotechnology,Healthcare
"Argan, Inc.",AGX,12.27,211.51,2595.86,0.1274,Specialty Retail,Consumer Cyclical
"Arhaus, Inc.",ARHS,43.39,11.52,499.82,0.0245,Gold,Basic Materials
"Aris Water Solutions, Inc.",ARIS,1.67,23.78,39.76,0.002,Specialty Retail,Consumer Cyclical
Arko Corp.,ARKO,8.05,4.96,39.94,0.002,Building Products & Equipment,Industrials
"Arlo Technologies, Inc.",ARLO,94.26,18.13,1708.86,0.0839,REIT - Diversified,Real Estate
"Armada Hoffler Properties, Inc.",AHH,4.73,7.3,34.54,0.0017,Pollution & Treatment Controls,Industrials
"Armstrong World Industries, Inc.",AWI,14.61,198.43,2899.06,0.1423,Solar,Technology
"Arq, Inc.",ARQ,2.86,7.08,20.28,0.001,Building Products & Equipment,Industrials
"Array Technologies, Inc.",ARRY,151.26,8.97,1356.78,0.0666,Biotechnology,Healthcare
"ArriVent BioPharma, Inc.",AVBP,5.89,20.19,118.96,0.0058,Biotechnology,Healthcare
"Arrowhead Pharmaceuticals, Inc.",ARWR,118.24,29.08,3437.8,0.1687,Semiconductors,Technology
"ARS Pharmaceuticals, Inc.",SPRY,48.74,10.07,490.82,0.0241,Biotechnology,Healthcare
"Arteris, Inc.",AIP,27.33,8.86,242.13,0.0119,Asset Management,Financial Services
Artisan Partners Asset Management Inc.,APAM,62.4,46.3,2888.93,0.1418,Medical Devices,Healthcare
"Artivion, Inc.",AORT,29.92,43.49,1301.18,0.0639,Biotechnology,Healthcare
"Arvinas, Inc.",ARVN,63.63,7.83,498.21,0.0244,Software - Application,Technology
"Asana, Inc.",ASAN,78.62,13.46,1058.17,0.0519,Information Technology Services,Technology
ASGN Incorporated,ASGN,9.97,53.07,528.9,0.026,Chemicals,Basic Materials
ASP Isotopes Inc.,ASPI,39.25,8.21,322.05,0.0158,Building Products & Equipment,Industrials
"Aspen Aerogels, Inc.",ASPN,12.7,6.61,83.91,0.0041,Semiconductors,Technology
"AssetMark Financial Holdings, Inc.",AMK,12.22,0,0,0,Credit Services,Financial Services
"Astera Labs, Inc.",ALAB,1.1,191.2,210.13,0.0103,Electrical Equipment & Parts,Industrials
"Astrana Health, Inc.",ASTH,42.68,29.7,1267.66,0.0622,Biotechnology,Healthcare
Atkore Inc.,ATKR,36.38,59.27,2156.01,0.1058,Medical Care Facilities,Healthcare
Atlanticus Holdings Corporation,ATLC,0.29,67.84,19.61,0.001,Oil & Gas Equipment & Services,Energy
Atlas Energy Solutions Inc.,AESI,67.29,10.79,726.02,0.0356,Auto Parts,Consumer Cyclical
Atmus Filtration Technologies Inc.,ATMU,82.99,46.08,3824.36,0.1877,Medical Instruments & Supplies,Healthcare
"Atossa Therapeutics, Inc.",ATOS,21.55,0.79,16.98,0.0008,Software - Application,Technology
"AtriCure, Inc.",ATRC,30.57,35.38,1081.53,0.0531,Information Technology Services,Technology
Atrion Corporation,ATRI,1.36,0,0,0,Medical Care Facilities,Healthcare
"AudioEye, Inc.",AEYE,6.92,12.88,89.06,0.0044,Software - Infrastructure,Technology
Aurinia Pharmaceuticals Inc.,AUPH,104.09,12.4,1290.68,0.0633,Rental & Leasing Services,Industrials
"Aurora Innovation, Inc.",AUR,494.05,5.73,2830.88,0.1389,Biotechnology,Healthcare
Aveanna Healthcare Holdings Inc.,AVAH,35.67,8.22,293.17,0.0144,Packaging & Containers,Consumer Cyclical
"AvePoint, Inc.",AVPT,125.69,16.27,2045.01,0.1004,Biotechnology,Healthcare
Avery Dennison Corporation,AVY,30.14,168.06,5066,0.2486,Medical Devices,Healthcare
"Avid Bioservices, Inc.",CDMO,58.07,0,0,0,Medical Devices,Healthcare
"Avidity Biosciences, Inc.",RNA,100.11,50.36,5041.44,0.2474,Semiconductor Equipment & Materials,Technology
"Avis Budget Group, Inc.",CAR,6.74,156.28,1053.64,0.0517,Banks - Regional,Financial Services
"AVITA Medical, Inc.",RCEL,25.31,4.26,107.82,0.0053,Biotechnology,Healthcare
"Axcelis Technologies, Inc.",ACLS,32.27,80.61,2601.12,0.1277,Financial Conglomerates,Financial Services
"Axogen, Inc.",AXGN,42,15.98,671.11,0.0329,Specialty Business Services,Industrials
"Axonics, Inc.",AXNX,50.46,0,0,0,Scientific & Technical Instruments,Technology
"Axos Financial, Inc.",AX,5.79,90.78,525.71,0.0258,Software - Infrastructure,Technology
"Axsome Therapeutics, Inc.",AXSM,36.08,125.17,4516.26,0.2216,Specialty Chemicals,Basic Materials
AZZ Inc.,AZZ,24.05,116.93,2812.17,0.138,Banks - Regional,Financial Services
"B. Riley Financial, Inc.",RILY,20.22,4.98,100.57,0.0049,Software - Infrastructure,Technology
"Backblaze, Inc.",BLZE,39.53,8.7,343.91,0.0169,Staffing & Employment Services,Industrials
"Badger Meter, Inc.",BMI,29.11,182.83,5322.55,0.2612,Banks - Regional,Financial Services
Balchem Corporation,BCPC,32.02,161.16,5160.18,0.2532,Communication Equipment,Technology
BancFirst Corporation,BANF,2.39,134.27,320.64,0.0157,Software - Application,Technology
Bandwidth Inc.,BAND,21.88,15.68,343.05,0.0168,Packaged Foods,Consumer Defensive
Bank7 Corp.,BSVN,0.22,48.44,10.46,0.0005,Drug Manufacturers - Specialty & Generic,Healthcare
"Barrett Business Services, Inc.",BBSI,23.07,48.14,1110.64,0.0545,Software - Application,Technology
Belden Inc.,BDC,21.44,129.83,2783.81,0.1366,Medical Instruments & Supplies,Healthcare
"Bentley Systems, Incorporated",BSY,139.84,53.8,7523.5,0.3692,Information Technology Services,Technology
"Beyond Meat, Inc.",BYND,59.17,2.46,145.56,0.0071,Medical Care Facilities,Healthcare
"BigBear.ai Holdings, Inc.",BBAI,75.27,4.98,374.84,0.0184,Biotechnology,Healthcare
"BILL Holdings, Inc.",BILL,25.45,51.54,1311.54,0.0644,Biotechnology,Healthcare
"BioCryst Pharmaceuticals, Inc.",BCRX,204.65,8.27,1692.48,0.0831,Medical Devices,Healthcare
"BioLife Solutions, Inc.",BLFS,31.38,26.46,830.39,0.0408,Restaurants,Consumer Cyclical
"Biomea Fusion, Inc.",BMEA,27.37,1.92,52.55,0.0026,Software - Application,Technology
biote Corp.,BTMD,25.34,3.46,87.69,0.0043,Software - Application,Technology
Bioventus Inc.,BVS,13.38,7.19,96.23,0.0047,Software - Application,Technology
"BJ's Restaurants, Inc.",BJRI,10.22,33.56,342.95,0.0168,Engineering & Construction,Industrials
"Black Diamond Therapeutics, Inc.",BDTX,24.94,2.94,73.33,0.0036,Electrical Equipment & Parts,Industrials
"Blackbaud, Inc.",BLKB,40.88,66.6,2722.81,0.1336,Restaurants,Consumer Cyclical
"BlackLine, Inc.",BL,57.16,53.61,3064.56,0.1504,Farm & Heavy Construction Machinery,Industrials
"Blend Labs, Inc.",BLND,228.68,4.03,921.56,0.0452,Lumber & Wood Production,Basic Materials
Blink Charging Co.,BLNK,42.69,1.02,43.54,0.0021,Apparel Retail,Consumer Cyclical
Bloom Energy Corporation,BE,180.07,57.07,10276.42,0.5043,Conglomerates,Industrials
"Bloomin' Brands, Inc.",BLMN,41.38,7.11,294.18,0.0144,Engineering & Construction,Industrials
Blue Bird Corporation,BLBD,31.84,58.83,1873.15,0.0919,Biotechnology,Healthcare
Blueprint Medicines Corporation,BPMC,62.27,0,0,0,Software - Infrastructure,Technology
Boise Cascade Company,BCC,18.71,90.02,1684.27,0.0827,Software - Application,Technology
"Boot Barn Holdings, Inc.",BOOT,29.31,182.57,5351.13,0.2626,Packaged Foods,Consumer Defensive
Boston Omaha Corporation,BOC,1.49,13.5,20.09,0.001,Biotechnology,Healthcare
"Boundless Bio, Inc.",BOLD,3.79,1.15,4.36,0.0002,Security & Protection Services,Industrials
Bowman Consulting Group Ltd.,BWMN,13.21,40.79,538.84,0.0264,Personal Services,Consumer Cyclical
"Box, Inc.",BOX,139.49,32.77,4570.96,0.2243,Health Information Services,Healthcare
"Braze, Inc.",BRZE,51.84,31.42,1628.84,0.0799,Restaurants,Consumer Cyclical
BRC Inc.,BRCC,46.77,1.53,71.56,0.0035,Medical Care Facilities,Healthcare
"BridgeBio Pharma, Inc.",BBIO,86.74,53.38,4629.97,0.2272,Specialty Retail,Consumer Cyclical
"Bridger Aerospace Group Holdings, Inc.",BAER,2.4,2.03,4.87,0.0002,Internet Content & Information,Communication Services
Bright Horizons Family Solutions Inc.,BFAM,8.63,116.82,1007.69,0.0495,Medical Devices,Healthcare
"BrightSpring Health Services, Inc.",BTSG,53.33,24.13,1286.93,0.0632,Aerospace & Defense,Industrials
"Brinker International, Inc.",EAT,39.38,158.22,6229.91,0.3057,Aerospace & Defense,Industrials
Brookdale Senior Living Inc.,BKD,162.47,7.69,1249.37,0.0613,Software - Infrastructure,Technology
Bruker Corporation,BRKR,66.34,30.83,2045.17,0.1004,Oil & Gas Equipment & Services,Energy
"Build-A-Bear Workshop, Inc.",BBW,12.79,64.62,826.43,0.0406,Specialty Chemicals,Basic Materials
Bumble Inc.,BMBL,8.94,6.7,59.92,0.0029,Biotechnology,Healthcare
"BWX Technologies, Inc.",BWXT,18.56,163.64,3037.16,0.1491,Utilities - Regulated Water,Utilities
Byrna Technologies Inc.,BYRN,17.13,19.62,336.03,0.0165,Aerospace & Defense,Industrials
"C3.ai, Inc.",AI,81.87,15.62,1278.73,0.0628,Food Distribution,Consumer Defensive
"Cabaletta Bio, Inc.",CABA,9.54,1.7,16.21,0.0008,Utilities - Regulated Water,Utilities
Cabot Corporation,CBT,53.69,81.05,4351.66,0.2136,Apparel Retail,Consumer Cyclical
"Cactus, Inc.",WHD,64.89,42.79,2776.56,0.1363,Software - Infrastructure,Technology
Cadiz Inc.,CDZI,41.72,3.55,148.1,0.0073,Farm Products,Consumer Defensive
"Cadre Holdings, Inc.",CDRE,25.79,32,825.28,0.0405,Auto & Truck Dealerships,Consumer Cyclical
"Calavo Growers, Inc.",CVGW,2.65,27.18,71.92,0.0035,Biotechnology,Healthcare
"Caleres, Inc.",CAL,10.26,15.7,161,0.0079,Biotechnology,Healthcare
California Water Service Group,CWT,15.19,47.09,715.39,0.0351,Biotechnology,Healthcare
"Calix, Inc.",CALX,42.97,60.65,2606.13,0.1279,Software - Infrastructure,Technology
"Cal-Maine Foods, Inc.",CALM,2.4,113.83,272.74,0.0134,Advertising Agencies,Communication Services
"Camping World Holdings, Inc.",CWH,41.96,17.91,751.5,0.0369,Diagnostics & Research,Healthcare
"Candel Therapeutics, Inc.",CADL,19.62,5,98.12,0.0048,REIT - Healthcare Facilities,Real Estate
"Cantaloupe, Inc.",CTLP,54.9,10.81,593.43,0.0291,Personal Services,Consumer Cyclical
"Capricor Therapeutics, Inc.",CAPR,21.32,6.74,143.69,0.0071,Auto & Truck Dealerships,Consumer Cyclical
"Cardiff Oncology, Inc.",CRDF,14.9,2.17,32.33,0.0016,Metal Fabrication,Industrials
"Cardlytics, Inc.",CDLX,39.76,0.93,37.06,0.0018,Biotechnology,Healthcare
"CareDx, Inc",CDNA,10.91,13.82,150.82,0.0074,Waste Management,Industrials
"CareTrust REIT, Inc.",CTRE,11.14,33.94,378.19,0.0186,Auto & Truck Dealerships,Consumer Cyclical
"CarGurus, Inc.",CARG,87.47,36.16,3162.88,0.1552,Specialty Retail,Consumer Cyclical
Carpenter Technology Corporation,CRS,47.14,247.43,11663.36,0.5724,Specialty Business Services,Industrials
"Carriage Services, Inc.",CSV,10.2,42.74,435.99,0.0214,Biotechnology,Healthcare
"Cartesian Therapeutics, Inc.",RNAC,7.16,10.64,76.16,0.0037,Diagnostics & Research,Healthcare
Carvana Co.,CVNA,36.83,368.88,13586.22,0.6668,Restaurants,Consumer Cyclical
"Casella Waste Systems, Inc.",CWST,56.68,94.69,5367.22,0.2634,Biotechnology,Healthcare
"Casey's General Stores, Inc.",CASY,6.39,505.64,3230.53,0.1585,Residential Construction,Consumer Cyclical
"Cass Information Systems, Inc.",CASS,11.43,43.04,491.86,0.0241,REIT - Retail,Real Estate
"Cassava Sciences, Inc.",SAVA,40.22,2.16,86.88,0.0043,Specialty Business Services,Industrials
"Castle Biosciences, Inc.",CSTL,8.25,23.56,194.35,0.0095,Pollution & Treatment Controls,Industrials
"Catalyst Pharmaceuticals, Inc.",CPRX,115.26,20.29,2338.67,0.1148,Biotechnology,Healthcare
"CAVA Group, Inc.",CAVA,75.29,66.63,5016.71,0.2462,Biotechnology,Healthcare
"Cavco Industries, Inc.",CVCO,8.3,545.84,4527.74,0.2222,Biotechnology,Healthcare
"CBIZ, Inc.",CBZ,47.47,59.86,2841.31,0.1394,Packaged Foods,Consumer Defensive
"CBL & Associates Properties, Inc.",CBL,15.51,32,496.26,0.0244,Beverages - Non-Alcoholic,Consumer Defensive
CDT Equity Inc.,CDT,13.83,1.18,16.32,0.0008,Utilities - Regulated Gas,Utilities
CECO Environmental Corp.,CECO,28.97,47.17,1366.61,0.0671,Uranium,Energy
Celcuity Inc.,CELC,21.75,55.69,1211.04,0.0594,Real Estate - Development,Real Estate
"Celldex Therapeutics, Inc.",CLDX,52.21,22.87,1193.93,0.0586,Medical Devices,Healthcare
"Celsius Holdings, Inc.",CELH,175.75,58.37,10258.24,0.5034,Aluminum,Basic Materials
Central Garden & Pet Company,CENT,1.66,37.63,62.39,0.0031,Biotechnology,Healthcare
Centrus Energy Corp.,LEU,9.95,205.39,2042.6,0.1002,Semiconductors,Technology
"Centuri Holdings, Inc.",CTRI,13.55,21.59,292.48,0.0144,Residential Construction,Consumer Cyclical
Century Aluminum Company,CENX,52.29,22.09,1154.98,0.0567,Medical Care Facilities,Healthcare
"Century Communities, Inc.",CCS,3.48,69.66,242.49,0.0119,Biotechnology,Healthcare
Cerus Corporation,CERS,178.71,1.33,237.69,0.0117,Specialty Retail,Consumer Cyclical
CervoMed Inc.,CRVO,5.35,10.51,56.22,0.0028,Banks - Regional,Financial Services
"CEVA, Inc.",CEVA,19.61,22.73,445.64,0.0219,Specialty Industrial Machinery,Industrials
"CG Oncology, Inc.",CGON,13.97,33.07,462.02,0.0227,Lodging,Consumer Cyclical
"Champion Homes, Inc.",SKY,25.13,78.4,1970.51,0.0967,Gambling,Consumer Cyclical
"ChargePoint Holdings, Inc.",CHPT,213.38,10.22,2180.73,0.107,Information Technology Services,Technology
"Chart Industries, Inc.",GTLS,41.81,199.45,8339.4,0.4093,Banks - Regional,Financial Services
Chemed Corporation,CHE,1.51,465.63,703.1,0.0345,Entertainment,Communication Services
"Choice Hotels International, Inc.",CHH,24.38,116.83,2848.32,0.1398,Capital Markets,Financial Services
Churchill Downs Incorporated,CHDN,69.53,102.38,7118.28,0.3493,Advertising Agencies,Communication Services
"Cinemark Holdings, Inc.",CNK,86.69,25.88,2243.46,0.1101,Steel,Basic Materials
Cipher Mining Inc.,CIFR,115.08,7.52,865.4,0.0425,Software - Application,Technology
"Citizens Financial Services, Inc.",CZFS,0.3,61.41,18.36,0.0009,Software - Application,Technology
City Holding Company,CHCO,1.12,128.64,143.69,0.0071,Electronics & Computer Distribution,Technology
"CleanSpark, Inc.",CLSK,219.49,9.24,2028.07,0.0995,Biotechnology,Healthcare
"Clear Channel Outdoor Holdings, Inc.",CCO,45.62,1.32,60.21,0.003,REIT - Residential,Real Estate
"Clear Secure, Inc.",YOU,86.95,34.91,3035.46,0.149,Banks - Regional,Financial Services
"Clearwater Analytics Holdings, Inc.",CWAN,138.67,20.77,2880.24,0.1413,Biotechnology,Healthcare
Cleveland-Cliffs Inc.,CLF,152.74,11.39,1739.65,0.0854,Biotechnology,Healthcare
"Climb Bio, Inc.",CLYM,0.43,2.39,1.02,0,Telecom Services,Communication Services
"Climb Global Solutions, Inc.",CLMB,4.16,128.61,535.4,0.0263,Scientific & Technical Instruments,Technology
Clipper Realty Inc.,CLPR,10.09,4.41,44.5,0.0022,Asset Management,Financial Services
Coastal Financial Corporation,CCB,10.5,109.84,1152.88,0.0566,Biotechnology,Healthcare
"Codexis, Inc.",CDXS,7.75,2.42,18.75,0.0009,Drug Manufacturers - Specialty & Generic,Healthcare
"Cogent Biosciences, Inc.",COGT,84.52,13.05,1103,0.0541,Banks - Regional,Financial Services
"Cogent Communications Holdings, Inc.",CCOI,43.62,36.88,1608.78,0.079,Engineering & Construction,Industrials
Cognex Corporation,CGNX,9.26,44.94,416.23,0.0204,Software - Application,Technology
"Cohen & Steers, Inc.",CNS,27.24,72.54,1975.92,0.097,Medical Care Facilities,Healthcare
"Coherus Oncology, Inc.",CHRS,28.45,1.29,36.7,0.0018,REIT - Healthcare Facilities,Real Estate
"Collegium Pharmaceutical, Inc.",COLL,32.25,38.32,1235.97,0.0607,Software - Application,Technology
"Columbia Financial, Inc.",CLBK,1.54,15.01,23.15,0.0011,Real Estate Services,Real Estate
"Comfort Systems USA, Inc.",FIX,35.07,706.31,24772.41,1.2157,Software - Infrastructure,Technology
"Commerce.com, Inc.",CMRC,69.84,4.47,312.17,0.0153,Medical Devices,Healthcare
"Community Health Systems, Inc.",CYH,67.51,2.92,197.14,0.0097,Gold,Basic Materials
Community Healthcare Trust Incorporated,CHCT,2.07,15.66,32.46,0.0016,Biotechnology,Healthcare
"Commvault Systems, Inc.",CVLT,40.34,178.97,7218.75,0.3543,Engineering & Construction,Industrials
"Compass, Inc.",COMP,361.12,9.65,3484.77,0.171,Security & Protection Services,Industrials
CompX International Inc.,CIX,0.87,23.38,20.29,0.001,Biotechnology,Healthcare
"Confluent, Inc.",CFLT,241.23,19.34,4665.33,0.229,Biotechnology,Healthcare
CONMED Corporation,CNMD,30.56,54.97,1679.72,0.0824,Biotechnology,Healthcare
"Construction Partners, Inc.",ROAD,42.52,122.46,5207.37,0.2556,Software - Infrastructure,Technology
"Contango Ore, Inc.",CTGO,3.16,21.58,68.17,0.0033,Industrial Distribution,Industrials
"Contineum Therapeutics, Inc.",CTNM,4.17,11.5,47.92,0.0024,Insurance Brokers,Financial Services
"Corbus Pharmaceuticals Holdings, Inc.",CRBP,6.1,9.86,60.15,0.003,Oil & Gas Equipment & Services,Energy
Corcept Therapeutics Incorporated,CORT,80.08,69.36,5554.63,0.2726,Education & Training Services,Consumer Defensive
"Core & Main, Inc.",CNM,108.77,66.98,7285.68,0.3576,Computer Hardware,Technology
Core Laboratories Inc.,CLB,46.51,12.62,586.91,0.0288,Trucking,Industrials
"Core Scientific, Inc.",CORZ,138.67,13.62,1888.63,0.0927,Credit Services,Financial Services
CorMedix Inc.,CRMD,49.67,12.4,615.91,0.0302,Consulting Services,Industrials
"Corsair Gaming, Inc.",CRSR,9.43,8.84,83.34,0.0041,Oil & Gas E&P,Energy
CorVel Corporation,CRVL,8.78,85.48,750.77,0.0368,Restaurants,Consumer Cyclical
"Coursera, Inc.",COUR,136.26,11.26,1534.3,0.0753,Credit Services,Financial Services
"Covenant Logistics Group, Inc.",CVLG,1.39,23.93,33.36,0.0016,Biotechnology,Healthcare
CPI Card Group Inc.,PMTS,4.95,14.3,70.84,0.0035,Computer Hardware,Technology
"CRA International, Inc.",CRAI,6.6,194.24,1282.37,0.0629,Footwear & Accessories,Consumer Cyclical
"Cracker Barrel Old Country Store, Inc.",CBRL,4.84,52.81,255.71,0.0125,Integrated Freight & Logistics,Industrials
Crawford & Company,CRD.A,15.03,10.87,163.38,0.008,Software - Infrastructure,Technology
